               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.044247,             0.03243,                   0,             0.73974,             0.66883,              0.7106,             0.31421,            0.045898,            0.019426,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.043959,            0.032233,                   0,             0.78394,             0.66233,             0.73216,             0.35079,            0.045151,            0.019084,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.044376,             0.03327,                   0,             0.77669,             0.67506,             0.73841,             0.35296,            0.045601,            0.019133,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.043566,            0.032323,                   0,             0.74999,             0.66531,             0.72217,              0.3174,            0.046648,            0.019211,                   0,            0.005545,            0.005545,            0.005545
                  92,             0.04335,            0.032002,                   0,             0.78139,             0.66883,             0.74723,              0.3637,            0.044875,            0.018797,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.043842,            0.031727,                   0,             0.77636,             0.66531,             0.73595,             0.34347,            0.046115,            0.019087,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.043483,            0.032639,                   0,              0.7927,             0.67641,             0.75327,               0.364,            0.045011,            0.018697,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.043116,            0.032726,                   0,             0.78818,             0.67104,             0.75223,             0.35783,            0.044528,             0.01881,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.043326,            0.031694,                   0,              0.7823,             0.68309,             0.74345,             0.35377,            0.045157,            0.018724,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.043639,            0.030706,                   0,             0.78762,             0.68481,             0.75703,             0.36081,            0.044852,            0.018758,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.043153,            0.032271,                   0,              0.7762,             0.67712,             0.74183,             0.35531,            0.045272,             0.01877,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.043482,            0.032751,                   0,             0.77968,             0.69569,             0.75145,             0.34612,             0.04549,            0.018807,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.043075,             0.03231,                   0,                 0.8,             0.67939,             0.75636,              0.3764,            0.044293,            0.018566,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,             0.04216,            0.031659,                   0,             0.78902,             0.70431,             0.75853,             0.35774,            0.044295,            0.019047,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.042944,            0.032453,                   0,             0.79136,             0.69835,             0.75239,             0.35504,            0.044368,            0.018529,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.043233,            0.032801,                   0,             0.80661,             0.69231,             0.76706,              0.3711,            0.044005,            0.018597,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.042081,            0.031616,                   0,             0.79527,              0.6867,             0.75267,             0.37246,            0.044237,            0.018649,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.042396,            0.030888,                   0,             0.80063,             0.69997,             0.76285,             0.36931,            0.044156,            0.018605,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.042389,            0.032298,                   0,             0.79159,             0.70512,             0.75749,             0.36829,            0.043451,            0.018672,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.041995,            0.030959,                   0,             0.81129,             0.69537,             0.77145,             0.37655,            0.043756,            0.018436,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.042268,             0.03113,                   0,              0.8052,             0.69731,             0.76915,             0.38299,             0.04364,            0.018478,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.041832,            0.030999,                   0,             0.80784,             0.69783,             0.76844,             0.37719,            0.043836,            0.018353,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.041957,            0.031998,                   0,             0.79995,             0.70597,             0.77417,             0.38227,            0.043499,            0.018348,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.041813,            0.031152,                   0,             0.78174,             0.70025,             0.75203,             0.35353,            0.044414,            0.018593,                   0,            0.004555,            0.004555,            0.004555
                 112,             0.04231,            0.031611,                   0,             0.79806,              0.6945,             0.76505,             0.36848,            0.044054,            0.018405,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.042164,            0.031036,                   0,             0.79996,             0.71903,             0.77668,              0.3813,            0.043112,            0.018221,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.041587,            0.031422,                   0,             0.80797,             0.70187,             0.77278,             0.38551,            0.043393,            0.018304,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.041652,            0.031541,                   0,             0.79502,             0.70365,             0.76462,             0.37196,            0.043474,            0.018378,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.041393,            0.031952,                   0,             0.81128,             0.70074,             0.76949,             0.37576,            0.043527,            0.018468,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.041491,            0.030741,                   0,             0.79992,              0.6997,             0.76856,             0.36718,            0.043477,             0.01844,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.041146,            0.031027,                   0,             0.81607,             0.69921,             0.77202,             0.37786,             0.04373,            0.018368,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.040234,            0.031468,                   0,              0.8141,             0.71839,             0.78608,              0.3934,            0.042903,            0.018151,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.041223,            0.031259,                   0,             0.80679,             0.71123,             0.77943,             0.38697,            0.043013,            0.018203,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.041284,            0.031224,                   0,               0.799,             0.69618,              0.7697,             0.36993,            0.043979,            0.018355,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.040982,            0.031209,                   0,             0.81023,             0.72678,             0.78645,             0.38882,            0.042604,            0.018063,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,             0.04051,             0.03121,                   0,             0.81397,              0.7303,             0.79577,             0.39653,            0.042526,            0.017935,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.040646,            0.031571,                   0,             0.79136,             0.72055,             0.77949,              0.3802,            0.043207,            0.018086,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.040886,            0.031272,                   0,             0.80719,             0.72325,             0.78529,             0.39793,            0.042346,            0.018228,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.040848,            0.030664,                   0,             0.81826,             0.71595,             0.78495,             0.38506,            0.042968,            0.018066,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.040288,             0.03113,                   0,             0.79332,             0.71196,             0.77214,             0.37846,            0.043253,            0.018135,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.039684,            0.030407,                   0,             0.80363,             0.72164,              0.7859,             0.39132,            0.042832,            0.018405,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.040238,            0.030968,                   0,             0.80623,             0.71881,             0.78129,             0.38965,            0.042499,            0.018299,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.040019,            0.030746,                   0,              0.8287,             0.72312,             0.79123,             0.39766,            0.042376,            0.018098,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.040171,            0.030615,                   0,             0.81708,             0.72333,             0.79455,             0.39973,            0.042452,            0.017885,                   0,            0.003565,            0.003565,            0.003565
                 132,             0.04008,            0.030804,                   0,             0.80806,             0.71432,             0.78333,             0.39129,            0.043111,            0.018171,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.039678,            0.031109,                   0,              0.8256,             0.72705,             0.79866,             0.40459,            0.042187,            0.017922,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.039503,            0.030456,                   0,             0.82787,             0.72868,             0.79383,             0.40074,            0.042471,            0.017783,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.039722,            0.030946,                   0,             0.81773,             0.73252,             0.79351,             0.39971,            0.042122,            0.017922,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.039528,            0.030323,                   0,             0.81726,             0.72784,             0.79536,             0.40591,            0.041973,            0.017751,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.039049,            0.030032,                   0,             0.81981,             0.73545,             0.79978,             0.40818,            0.041941,            0.017652,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.039713,            0.030825,                   0,             0.81486,             0.72344,             0.78148,             0.37652,            0.042741,            0.017855,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.039036,            0.029311,                   0,             0.81665,             0.72845,              0.7969,             0.40694,            0.041805,            0.017767,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.039504,            0.029539,                   0,             0.80558,             0.73301,             0.78941,             0.39755,            0.042196,            0.017856,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.039506,            0.030399,                   0,              0.8296,             0.72904,             0.79876,             0.40393,            0.041857,            0.017653,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.038977,            0.029534,                   0,              0.8195,             0.73084,             0.80063,             0.42012,            0.041428,            0.017698,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.039562,            0.030233,                   0,             0.82421,             0.73512,             0.79908,             0.41154,            0.041713,            0.017795,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.039293,            0.029978,                   0,              0.8143,             0.74059,             0.79222,             0.39903,            0.041191,            0.017727,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.038296,            0.030027,                   0,               0.817,             0.74357,             0.80205,              0.4069,            0.041407,            0.017659,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.039436,            0.030169,                   0,              0.8258,             0.73297,             0.80253,             0.40669,            0.041628,            0.017607,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.039268,             0.02917,                   0,             0.83111,             0.72353,             0.79653,             0.40397,            0.041774,             0.01772,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.039319,            0.030632,                   0,             0.81111,             0.74249,             0.79766,              0.4078,            0.041405,            0.017763,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.038863,            0.029844,                   0,             0.81522,             0.72895,             0.79378,             0.40197,            0.041908,            0.017963,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.038817,            0.029495,                   0,             0.82111,             0.74763,             0.81103,             0.42323,             0.04111,            0.017551,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,              0.0382,             0.02949,                   0,             0.82688,             0.74249,             0.80862,             0.41546,            0.041162,            0.017565,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.038497,            0.029941,                   0,             0.80889,             0.73545,             0.78975,             0.38843,            0.042187,            0.017886,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.038494,            0.029669,                   0,             0.82276,             0.74411,              0.8058,             0.41138,            0.041321,            0.017588,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.038605,            0.030595,                   0,             0.83005,             0.74059,             0.80496,             0.41121,            0.041425,            0.017578,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.038234,            0.030408,                   0,             0.84199,             0.74886,             0.81238,             0.41992,            0.041012,            0.017384,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.037838,              0.0295,                   0,             0.83122,             0.73881,             0.80874,             0.42355,            0.041111,            0.017532,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,             0.03821,            0.029965,                   0,             0.82767,             0.74926,             0.80922,             0.41647,            0.041293,            0.017531,                   0,            0.002278,            0.002278,            0.002278
                 158,             0.03787,             0.02923,                   0,             0.82152,             0.74574,             0.80605,             0.41579,             0.04141,            0.017576,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.038261,            0.028937,                   0,             0.83009,             0.75846,             0.81436,             0.41585,            0.040813,            0.017347,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.037953,             0.02978,                   0,             0.83369,              0.7525,             0.81366,             0.42277,            0.040738,            0.017329,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,            0.038271,             0.02812,                   0,             0.83865,             0.73382,             0.81088,             0.42513,            0.040951,            0.017477,                   0,             0.00208,             0.00208,             0.00208
